,finance_4.csv,finance_7.csv,finance_2.csv,finance_1.csv,finance_9.csv,finance_8.csv,finance_6.csv,finance_5.csv,finance_3.csv,finance_71.csv
smape_LSTM_Multistep,46.63667002734954,42.72491955091353,79.85228213937413,119.96231700775327,10.516244520582022,24.626832376561502,50.44664300550831,14.685711024887134,13.837035355078967,43.76010339975205
mase_LSTM_Multistep,0.4548492537298821,2.5380137808861676,1.5548238267307146,8.228344421914365,8.443116522511882,28.30274397429239,6.514311731839532,3.386777756081361,4.720484484123085,6.3753742738021275
mues_LSTM_Multistep,0.6,0.9166666666666666,0.5,1.0,0.0,1.0,1.0,0.8888888888888888,0.5,0.23546245421245418
moes_LSTM_Multistep,0.4,0.08333333333333333,0.5,0.0,1.0,0.0,0.0,0.1111111111111111,0.5,0.7645375457875457
muas_LSTM_Multistep,0.28418102926896494,0.3450961195869268,0.3577971978814989,0.7491660613571881,0.0,0.21826947923444945,0.3914428025102872,0.12023203280372413,0.06825556297779856,0.1313657501907933
moas_LSTM_Multistep,0.06603168471373606,0.10398549476438601,1.6407637450962302,0.0,0.11116552314072634,0.0,0.0,0.011875466200474602,0.07269983044979701,0.7389520708081725
smape_NP_Multistep,376.90089813979887,297.6310420180001,2451.901946372536,23.2007238412161,56.73273772848462,144.12260681648473,144.211492592375,1030.520576157236,82.99806225673761,1305.1998113540442
mase_NP_Multistep,3.0070811984595665,5.755423546295855,6.263107646284224,2.9567057544054776,34.24050904298372,63.18067464512243,12.544168941478805,96.71030131206489,70.49440200015255,13.817830294438597
mues_NP_Multistep,1.0,0.5833333333333334,0.75,0.5555555555555556,0.0,1.0,0.75,1.0,0.0,0.5313644688644689
moes_NP_Multistep,0.0,0.4166666666666667,0.25,0.4444444444444444,1.0,0.0,0.25,0.0,1.0,0.468635531135531
muas_NP_Multistep,2.810851880035334,0.9478349108783272,7.278572054864312,0.109057413863409,0.0,0.717528334804982,0.630288905895751,3.4749906779348896,0.0,1.204116635707154
moas_NP_Multistep,0.0,0.7664063356300698,2.872239398397042,0.1296875774104331,0.9341551133202892,0.0,0.12423911710191987,0.0,1.4784151681691977,1.2220823155492984
smape_DeepAR_Multistep,53.465941655130585,28.549987604244944,77.76099046567958,22.880386512831134,2.5984678777215064,6.062212769642736,12.268998493506935,9.548663969876678,9.117589525279117,42.01265818752734
mase_DeepAR_Multistep,0.7511840004181416,1.8742514228079514,2.2101625385409647,2.6873979562950576,1.76685021602878,10.333640328227794,2.724226318104198,1.4277784129267908,2.510098419960689,5.948625192550458
mues_DeepAR_Multistep,0.4,0.9166666666666666,0.25,0.4444444444444444,0.5,0.4,0.625,0.2222222222222222,0.6666666666666666,0.30196886446886445
moes_DeepAR_Multistep,0.6,0.08333333333333333,0.75,0.5555555555555556,0.5,0.6,0.375,0.7777777777777778,0.3333333333333333,0.6980311355311356
muas_DeepAR_Multistep,0.15432640831117833,0.24902060679681393,0.3155395146771091,0.08886605783782357,0.016048453000026084,0.034223778215100316,0.05415821156309246,0.019977862049745904,0.042328212948397614,0.21985275449228878
moas_DeepAR_Multistep,0.5029723198874521,0.0871923792599455,2.1249496252374875,0.1539194471608381,0.009753157572346979,0.024920943079217578,0.0714244476586389,0.08149810381872608,0.05128300390360608,0.6784909324354674
smape_NBeats_Multistep,56.530497665427184,19.3711283992992,75.81034342798124,21.203453802530777,2.509352937781435,5.959187539587805,12.26229119007444,8.199558007933414,9.287260564208479,38.07403644116836
mase_NBeats_Multistep,0.9275429415762708,1.2863838044304932,1.5812855078108174,2.31598338703088,1.5066247518321334,9.133325230747126,2.5667317317378595,1.0355214124748897,2.7800346247418646,5.339193190866158
mues_NBeats_Multistep,0.2,0.75,0.39285714285714285,0.5555555555555556,0.5,0.4,0.625,0.3333333333333333,0.6666666666666666,0.36435439560439564
moes_NBeats_Multistep,0.8,0.25,0.6071428571428571,0.4444444444444444,0.5,0.6,0.375,0.6666666666666666,0.3333333333333333,0.6356456043956045
muas_NBeats_Multistep,0.10672495365249782,0.18110300697123186,0.20617084028298358,0.10215981424167057,0.017623138054405806,0.03453695818852409,0.06174441090558637,0.021873314188753698,0.04470947598831166,0.16559395856602796
moas_NBeats_Multistep,0.7106031366359133,0.12389744452144413,1.7693779160365875,0.11145001569199965,0.0071621250652002,0.02351454750072518,0.06155466650163979,0.06427571359421726,0.05006113545061542,0.6222056620294227
smape_TFT_Multistep,50.83911215628784,160.5582292016687,194.73216481199213,77.02746204829272,46.26422126484424,14.891876386278025,200.0,76.3584909382285,30.130989411269542,200.0
mase_TFT_Multistep,0.6043867470709826,6.454700298664175,1.266812195134666,5.213903815725811,25.389637613289754,20.8616838064553,17.805887423346974,14.040300886736668,10.096998419282029,12.647134802725008
mues_TFT_Multistep,0.4,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.5,1.0
moes_TFT_Multistep,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.5,0.0
muas_TFT_Multistep,0.17857486768964062,0.8606828443049803,0.9791373371763067,0.47739031458608927,0.37392689749569363,0.03095676439278037,1.0,0.5156306523976424,0.151416981424259,1.0
moas_TFT_Multistep,0.38649479380637947,0.0,0.0,0.0,0.0,0.13052526667839212,0.0,0.0,0.1365346944341177,0.0
