,nature_7.csv,nature_2.csv,nature_5.csv
smape_LSTM_Multistep,31.271512259508462,12.566257814926338,22.630788563456186
mase_LSTM_Multistep,1.8295223128970486,1.2636967576104763,1.9062875869546472
mues_LSTM_Multistep,0.5303030303030303,0.5334699453551913,0.9565217391304348
moes_LSTM_Multistep,0.4696969696969697,0.4665300546448088,0.043478260869565216
muas_LSTM_Multistep,0.19625214217988016,0.11489738266044541,0.20900555032352852
moas_LSTM_Multistep,0.5658372852364478,0.13452597525635107,0.005497157873930142
smape_NP_Multistep,216.45704508760565,55.07352299605633,68.22005745170615
mase_NP_Multistep,5.0189941892337835,4.975434480097681,5.632250060970657
mues_NP_Multistep,0.29166666666666663,0.4740437158469945,0.6195652173913043
moes_NP_Multistep,0.7083333333333333,0.5259562841530055,0.3804347826086957
muas_NP_Multistep,0.8422311892621998,0.4591402383985273,0.5267634202966319
moas_NP_Multistep,1.0678284674680685,0.5501931103193557,0.8889626953780067
smape_DeepAR_Multistep,31.657558337596438,6.584552414596678,7.097296741534855
mase_DeepAR_Multistep,1.864645829646779,0.6276806667523277,0.646656543759953
mues_DeepAR_Multistep,0.5265151515151515,0.47062841530054644,0.6086956521739131
moes_DeepAR_Multistep,0.47348484848484856,0.5293715846994536,0.391304347826087
muas_DeepAR_Multistep,0.1813616299871517,0.0653034843753299,0.05324130459151981
moas_DeepAR_Multistep,0.6238024458246781,0.06632096138808757,0.11175275389453798
smape_NBeats_Multistep,6.8584320138784385,6.973613855490856,4.513905502568955
mase_NBeats_Multistep,0.4093275271249741,0.6663751126548695,0.4105003389269874
mues_NBeats_Multistep,0.32196969696969696,0.5109289617486339,0.5
moes_NBeats_Multistep,0.678030303030303,0.48907103825136616,0.5
muas_NBeats_Multistep,0.04870720823526107,0.06940609626887162,0.036528934850090004
moas_NBeats_Multistep,0.07973838792469654,0.06855874523910445,0.05533097664831776
smape_TFT_Multistep,199.99999999612928,12.402024407934634,11.158642711336222
mase_TFT_Multistep,6.200280184763224,1.2474907326216242,0.99267804833517
mues_TFT_Multistep,1.0,0.4863387978142077,0.5
moes_TFT_Multistep,0.0,0.5136612021857924,0.5
muas_TFT_Multistep,0.9999999999903234,0.10795332992840598,0.06571508567806604
moas_TFT_Multistep,0.0,0.14496663972446083,0.09313381921633089
