,human_1.csv,human_9.csv,human_4.csv,human_53.csv,human_15.csv,human_60.csv,human_12.csv,human_39.csv,human_58.csv,human_62.csv
smape_LSTM_1step,11.702731047380263,122.56120552503579,67.31255990814424,6.957964638333313,4.364945522642108,27.420749576816714,33.211451687384155,17.44696599652273,37.616345661396544,20.896279375088707
mase_LSTM_1step,inf,inf,inf,2.868825259445547,inf,inf,inf,inf,inf,inf
mues_LSTM_1step,0.25806451612903225,0.3870967741935484,1.0,0.9090909090909091,0.3225806451612903,0.0,0.0,0.967741935483871,0.16129032258064516,0.3548387096774194
moes_LSTM_1step,0.7419354838709677,0.6129032258064516,0.0,0.09090909090909091,0.6774193548387096,1.0,1.0,0.03225806451612903,0.8387096774193549,0.6451612903225806
muas_LSTM_1step,0.03260484563083153,1.0990847331317894,0.5000208435030578,0.0647294750510265,0.017927820942093473,0.0,0.0,0.1553054956008794,0.01959211090458983,0.03875814178199151
moas_LSTM_1step,0.08942195089209046,1.7078635195916292,0.0,0.0018034568533169752,0.025489865473225647,0.3194098924758487,0.4015639386002841,0.0010875505505484983,0.4898594728264646,0.20241752396464094
smape_NP_1step,51.1318725358648,347.17038040559027,3428.6088414794053,13.91511890165717,20.150395032698384,137.0875207336559,511.03818781366016,63.15024642357599,72.94385453453751,277.2239059269247
mase_NP_1step,inf,inf,inf,6.216443112687434,inf,inf,inf,inf,inf,inf
mues_NP_1step,0.12903225806451613,0.6774193548387096,1.0,0.5151515151515151,0.7741935483870968,0.42424242424242425,0.696969696969697,0.8064516129032258,0.16129032258064516,0.5161290322580645
moes_NP_1step,0.8709677419354839,0.3225806451612903,0.0,0.48484848484848486,0.22580645161290322,0.5757575757575758,0.30303030303030304,0.1935483870967742,0.8387096774193549,0.4838709677419355
muas_NP_1step,0.09736106266784855,6.385126902687602,1.9089866129079445,0.06412570489454937,0.15913230519158117,0.4584616355371758,0.7769265361544155,0.3429581118046045,0.032795600155258765,0.3831779366923155
moas_NP_1step,0.44141295244375767,2.4800479985799626,0.0,0.07583891722905096,0.01825087779021328,0.2691161365463392,0.1169418083266335,0.116378836157054,1.6440668202747646,0.16832778279634916
smape_DeepAR_1step,10.581707871911151,230.01349224461197,15.541723630100957,3.2459231469649317,4.317367871732072,3.550466444177472,3.939810260588419,12.469564857825274,35.64778219925266,17.861331814553576
mase_DeepAR_1step,inf,inf,inf,1.1516514586504212,inf,inf,inf,inf,inf,inf
mues_DeepAR_1step,0.45161290322580644,0.2903225806451613,0.5757575757575758,0.48484848484848486,0.2903225806451613,0.42424242424242425,0.48484848484848486,0.5806451612903226,0.3870967741935484,0.5161290322580645
moes_DeepAR_1step,0.5483870967741935,0.7096774193548387,0.42424242424242425,0.5151515151515151,0.7096774193548387,0.5757575757575758,0.5151515151515151,0.41935483870967744,0.6129032258064516,0.4838709677419355
muas_DeepAR_1step,0.04817547923441248,0.14418499587977543,0.08522926166187098,0.017882681054140908,0.01846878290427671,0.016825777276517576,0.02320846644179949,0.07818780664078895,0.11638023633323813,0.07469940618115453
moas_DeepAR_1step,0.05771244596754421,0.7002995955362394,0.06877359500572273,0.0143736757736976,0.023953109782020907,0.01850857130883734,0.015153772504517323,0.03815556373679353,0.2641263732910201,0.11299813528652995
smape_NBeats_1step,8.197300380743627,134.3034471272089,4.760411587315164,3.2694670929675915,3.6569025017554826,3.6292985931086688,4.728997099962909,5.194222862959371,4.224959062071885,6.235911281270089
mase_NBeats_1step,inf,inf,inf,0.9231848959630091,inf,inf,inf,inf,inf,inf
mues_NBeats_1step,0.4838709677419355,0.1935483870967742,0.6666666666666666,0.6060606060606061,0.6129032258064516,0.3333333333333333,0.45454545454545453,0.9354838709677419,0.7419354838709677,0.5483870967741935
moes_NBeats_1step,0.5161290322580645,0.8064516129032258,0.3333333333333333,0.3939393939393939,0.3870967741935484,0.6666666666666666,0.5454545454545454,0.06451612903225806,0.25806451612903225,0.45161290322580644
muas_NBeats_1step,0.031559090602755316,0.03016724766330074,0.024187344016490663,0.01909804562262059,0.022830716149166902,0.018240199548045063,0.023695000928798487,0.04742511486875546,0.03279117207457867,0.03568945923627379
moas_NBeats_1step,0.05222306977026112,0.8193067939114209,0.023759569598639823,0.013362825906671929,0.012693493290386309,0.01777823924149523,0.02280184929740042,0.002654311591762693,0.008396682320274653,0.025536598672896434
smape_TFT_1step,10.701339751326786,213.3683657971865,13.224614948762886,6.29184940714103,4.362648090761014,22.065872094410246,16.954598235284344,20.794878273185347,199.99999999999372,19.21777078901277
mase_TFT_1step,inf,inf,inf,2.6721731366323587,inf,inf,inf,inf,inf,inf
mues_TFT_1step,0.4838709677419355,0.45161290322580644,0.696969696969697,0.45454545454545453,0.6129032258064516,0.45454545454545453,0.6060606060606061,0.6129032258064516,1.0,0.5483870967741935
moes_TFT_1step,0.5161290322580645,0.5483870967741935,0.30303030303030304,0.5454545454545454,0.3870967741935484,0.5454545454545454,0.3939393939393939,0.3870967741935484,0.0,0.45161290322580644
muas_TFT_1step,0.07042068867650746,0.39547051523376686,0.07579084030473483,0.028241722912945185,0.029653523730215268,0.10863321725553968,0.09926688331465283,0.14031489887878443,0.9999999999999843,0.10104910311645837
moas_TFT_1step,0.029634215900052434,0.6101325160007707,0.05572976750653598,0.034937550703770706,0.012764714996706932,0.10501730285594658,0.06459561923891317,0.04171505972000951,0.0,0.09100280175926379
